category,personName,country,city,source,industries,countryOfCitizenship,organization,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,gdp_country
Fashion & Retail,Bernard Arnault & family,France,Paris,LVMH,Fashion & Retail,France,LVMH Moët Hennessy Louis Vuitton,U,M,1949-03-05 00:00:00,Arnault,Bernard,Chairman and CEO,2023-04-04 05:01:00,,,"$2,715,518,274,227 "
Automotive,Elon Musk,United States,Austin,"Tesla, SpaceX",Automotive,United States,Tesla,D,M,1971-06-28 00:00:00,Musk,Elon,CEO,2023-04-04 05:01:00,Texas,South,"$21,427,700,000,000 "
Technology,Jeff Bezos,United States,Medina,Amazon,Technology,United States,Amazon,D,M,1964-01-12 00:00:00,Bezos,Jeff,Chairman and Founder,2023-04-04 05:01:00,Washington,West,"$21,427,700,000,000 "
Technology,Larry Ellison,United States,Lanai,Oracle,Technology,United States,Oracle,U,M,1944-08-17 00:00:00,Ellison,Larry,CTO and Founder,2023-04-04 05:01:00,Hawaii,West,"$21,427,700,000,000 "
Finance & Investments,Warren Buffett,United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,Berkshire Hathaway Inc. (Cl A),D,M,1930-08-30 00:00:00,Buffett,Warren,CEO,2023-04-04 05:01:00,Nebraska,Midwest,"$21,427,700,000,000 "
Technology,Bill Gates,United States,Medina,Microsoft,Technology,United States,Bill & Melinda Gates Foundation,D,M,1955-10-28 00:00:00,Gates,Bill,Cochair,2023-04-04 05:01:00,Washington,West,"$21,427,700,000,000 "
Media & Entertainment,Michael Bloomberg,United States,New York,Bloomberg LP,Media & Entertainment,United States,Bloomberg,U,M,1942-02-14 00:00:00,Bloomberg,Michael,CEO,2023-04-04 05:01:00,New York,Northeast,"$21,427,700,000,000 "
Telecom,Carlos Slim Helu & family,Mexico,Mexico City,Telecom,Telecom,Mexico,América Móvil,U,M,1940-01-28 00:00:00,Slim Helu,Carlos,Honorary Chairman,2023-04-04 05:01:00,,,"$1,258,286,717,125 "
Diversified,Mukesh Ambani,India,Mumbai,Diversified,Diversified,India,Reliance Industries,D,M,1957-04-19 00:00:00,Ambani,Mukesh,Founder and Chairman,2023-04-04 05:01:00,,,"$2,611,000,000,000 "
Technology,Steve Ballmer,United States,Hunts Point,Microsoft,Technology,United States,Los Angeles Clippers,D,M,1956-03-24 00:00:00,Ballmer,Steve,Owner,2023-04-04 05:01:00,Washington,West,"$21,427,700,000,000 "
Fashion & Retail,Francoise Bettencourt Meyers & family,France,Paris,L'Oréal,Fashion & Retail,France,,U,F,1953-07-10 00:00:00,Bettencourt Meyers,Francoise,,2023-04-04 05:01:00,,,"$2,715,518,274,227 "
Technology,Larry Page,United States,Palo Alto,Google,Technology,United States,Alphabet,D,M,1973-03-26 00:00:00,Page,Larry,Cofounder and board member,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Fashion & Retail,Amancio Ortega,Spain,La Coruna,Zara,Fashion & Retail,Spain,,U,M,1936-03-28 00:00:00,Ortega,Amancio,,2023-04-04 05:01:00,,,"$1,394,116,310,769 "
Technology,Sergey Brin,United States,Los Altos,Google,Technology,United States,Alphabet,D,M,1973-08-21 00:00:00,Brin,Sergey,Cofounder and board member,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Food & Beverage,Zhong Shanshan,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,China,,U,M,1954-12-01 00:00:00,Zhong,Shanshan,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Technology,Mark Zuckerberg,United States,Palo Alto,Facebook,Technology,United States,Meta Platforms,D,M,1984-05-14 00:00:00,Zuckerberg,Mark,Cofounder,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Diversified,Charles Koch & family,United States,Wichita,Koch Industries,Diversified,United States,"Koch Industries, Inc.",D,M,1935-11-01 00:00:00,Koch,Charles,Chairman and CEO,2023-04-04 05:01:00,Kansas,Midwest,"$21,427,700,000,000 "
Diversified,Julia Koch & family,United States,New York,Koch Industries,Diversified,United States,,D,F,1962-04-12 00:00:00,Koch,Julia,,2023-04-04 05:01:00,New York,Northeast,"$21,427,700,000,000 "
Fashion & Retail,Jim Walton,United States,Bentonville,Walmart,Fashion & Retail,United States,"Arvest Bank Group, Inc.",D,M,1948-06-07 00:00:00,Walton,Jim,Chairman and CEO,2023-04-04 05:01:00,Arkansas,South,"$21,427,700,000,000 "
Fashion & Retail,Rob Walton & family,United States,Bentonville,Walmart,Fashion & Retail,United States,Walmart,D,M,1944-10-27 00:00:00,Walton,Rob,Director,2023-04-04 05:01:00,Arkansas,South,"$21,427,700,000,000 "
Fashion & Retail,Alice Walton,United States,Fort Worth,Walmart,Fashion & Retail,United States,Crystal Bridges Museum of American Art,D,F,1949-10-07 00:00:00,Walton,Alice,Philanthropist,2023-04-04 05:01:00,Texas,South,"$21,427,700,000,000 "
Media & Entertainment,David Thomson & family,Canada,Toronto,Media,Media & Entertainment,Canada,Thomson Reuters Corporation,U,M,1957-06-12 00:00:00,Thomson,David,Chairman,2023-04-04 05:01:00,,,"$1,736,425,629,520 "
Technology,Michael Dell,United States,Austin,Dell Technologies,Technology,United States,Dell Inc.,D,M,1965-02-23 00:00:00,Dell,Michael,Chairman and CEO,2023-04-04 05:01:00,Texas,South,"$21,427,700,000,000 "
Diversified,Gautam Adani,India,Ahmedabad,"Infrastructure, commodities",Diversified,India,,D,M,1962-06-24 00:00:00,Adani,Gautam,,2023-04-04 05:01:00,,,"$2,611,000,000,000 "
Fashion & Retail,Phil Knight & family,United States,Hillsboro,Nike,Fashion & Retail,United States,Nike,D,M,1938-02-24 00:00:00,Knight,Phil,Chairman,2023-04-04 05:01:00,Oregon,West,"$21,427,700,000,000 "
Technology,Zhang Yiming,China,Beijing,TikTok,Technology,China,ByteDance,D,M,1984-01-01 00:00:00,Zhang,Yiming,Founder,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Fashion & Retail,Dieter Schwarz,Germany,Neckarsulm,Retail,Fashion & Retail,Germany,,D,M,1939-09-24 00:00:00,Schwarz,Dieter,,2023-04-04 05:01:00,,,"$3,845,630,030,824 "
Fashion & Retail,François Pinault & family,France,Paris,Luxury goods,Fashion & Retail,France,,D,M,1936-08-21 00:00:00,Pinault,François,,2023-04-04 05:01:00,,,"$2,715,518,274,227 "
Logistics,Klaus-Michael Kuehne,Switzerland,Schindellegi,Shipping,Logistics,Germany,,U,M,1937-06-02 00:00:00,Kuehne,Klaus-Michael,,2023-04-04 05:01:00,,,"$703,082,435,360 "
Food & Beverage,Giovanni Ferrero,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,,U,M,1964-09-21 00:00:00,Ferrero,Giovanni,,2023-04-04 05:01:00,,,"$529,606,710,418 "
Food & Beverage,Jacqueline Mars,United States,The Plains,"Candy, pet food",Food & Beverage,United States,,U,F,1939-10-10 00:00:00,Mars,Jacqueline,,2023-04-04 05:01:00,Virginia,South,"$21,427,700,000,000 "
Food & Beverage,John Mars,United States,Jackson,"Candy, pet food",Food & Beverage,United States,,U,M,1935-10-15 00:00:00,Mars,John,,2023-04-04 05:01:00,Wyoming,South,"$21,427,700,000,000 "
Diversified,Li Ka-shing,Hong Kong,,Diversified,Diversified,Hong Kong,CK Hutchison Holdings,U,M,1928-06-13 00:00:00,Li,Ka-shing,Senior Advisor,2023-04-04 05:01:00,,,
Technology,Ma Huateng,China,Shenzhen,Internet media,Technology,China,Tencent Holdings,D,M,1971-10-29 00:00:00,Ma,Huateng,Chairman and CEO,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Gambling & Casinos,Miriam Adelson & family,United States,Las Vegas,Casinos,Gambling & Casinos,United States,,U,F,1945-10-10 00:00:00,Adelson,Miriam,,2023-04-04 05:01:00,Nevada,West,"$21,427,700,000,000 "
Finance & Investments,Ken Griffin,United States,Miami,Hedge funds,Finance & Investments,United States,Citadel LLC,U,M,1968-10-15 00:00:00,Griffin,Ken,Founder & CEO,2023-04-04 05:01:00,Florida,South,"$21,427,700,000,000 "
Food & Beverage,Mark Mateschitz,Austria,Salzburg,Red Bull,Food & Beverage,Austria,,N,M,1992-05-07 00:00:00,Mateschitz,Mark,,2023-04-04 05:01:00,,,"$446,314,739,528 "
Automotive,Robin Zeng,China,Ningde,Batteries,Automotive,Hong Kong,,D,M,1969-01-01 00:00:00,Zeng,Robin,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Fashion & Retail,Tadashi Yanai & family,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,,U,M,1949-02-07 00:00:00,Yanai,Tadashi,,2023-04-04 05:01:00,,,"$5,081,769,542,380 "
Diversified,Len Blavatnik,United Kingdom,London,"Music, chemicals",Diversified,United States,,D,M,1957-06-01 00:00:00,Blavatnik,Len,,2023-04-04 05:01:00,,,"$2,827,113,184,696 "
Fashion & Retail,Alain Wertheimer,United States,New York,Chanel,Fashion & Retail,France,,U,M,1948-08-28 00:00:00,Wertheimer,Alain,,2023-04-04 05:01:00,New York,Northeast,"$21,427,700,000,000 "
Fashion & Retail,Gerard Wertheimer,United States,New York,Chanel,Fashion & Retail,France,,U,M,1951-01-09 00:00:00,Wertheimer,Gerard,,2023-04-04 05:01:00,New York,Northeast,"$21,427,700,000,000 "
Logistics,Gianluigi Aponte,Switzerland,Geneva,Shipping,Logistics,Switzerland,,Split Family Fortune,M,1940-06-27 00:00:00,Aponte,Gianluigi,,2023-04-04 05:01:00,,,"$703,082,435,360 "
Logistics,Rafaela Aponte-Diamant,Switzerland,Geneva,Shipping,Logistics,Switzerland,,Split Family Fortune,F,1945-03-26 00:00:00,Aponte-Diamant,Rafaela,,2023-04-04 05:01:00,,,"$703,082,435,360 "
Technology,Colin Zheng Huang,China,Shanghai,E-commerce,Technology,China,,U,M,1980-02-02 00:00:00,Huang,Colin Zheng,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Manufacturing,Reinhold Wuerth & family,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,,U,M,1935-04-20 00:00:00,Wuerth,Reinhold,,2023-04-04 05:01:00,,,"$3,845,630,030,824 "
Real Estate,Lee Shau Kee,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,D,M,1928-01-29 00:00:00,Lee,Shau Kee,,2023-04-04 05:01:00,,,
Finance & Investments,Jeff Yass,United States,Haverford,"Trading, investments",Finance & Investments,United States,,U,M,1958-07-17 00:00:00,Yass,Jeff,,2023-04-04 05:01:00,Pennsylvania,Northeast,"$21,427,700,000,000 "
Finance & Investments,Jim Simons,United States,East Setauket,Hedge funds,Finance & Investments,United States,Renaissance Technologies Corp.,D,M,1938-04-25 00:00:00,Simons,Jim,Founder,2023-04-04 05:01:00,New York,Northeast,"$21,427,700,000,000 "
Finance & Investments,Stephen Schwarzman,United States,New York,Investments,Finance & Investments,United States,Blackstone Group,D,M,1947-02-14 00:00:00,Schwarzman,Stephen,Chairman and CEO,2023-04-04 05:01:00,New York,Northeast,"$21,427,700,000,000 "
Automotive,Susanne Klatten,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,,U,F,1962-04-28 00:00:00,Klatten,Susanne,,2023-04-04 05:01:00,,,"$3,845,630,030,824 "
Metals & Mining,Gina Rinehart,Australia,Perth,Mining,Metals & Mining,Australia,Hancock Prospecting,D,F,1954-02-09 00:00:00,Rinehart,Gina,Executive Chairman,2023-04-04 05:01:00,,,"$1,392,680,589,329 "
Technology,William Ding,China,Hangzhou,Online games,Technology,China,,U,M,1971-10-01 00:00:00,Ding,William,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Metals & Mining,Germán Larrea Mota Velasco & family,Mexico,Mexico City,Mining,Metals & Mining,Mexico,,D,M,1953-10-26 00:00:00,Larrea Mota Velasco,Germán,,2023-04-04 05:01:00,,,"$1,258,286,717,125 "
Technology,Shiv Nadar,India,Delhi,software services,Technology,India,,D,M,1945-07-18 00:00:00,Nadar,Shiv,,2023-04-04 05:01:00,,,"$2,611,000,000,000 "
Energy,Low Tuck Kwong,Indonesia,Jakarta,Coal,Energy,Indonesia,,U,M,1948-04-17 00:00:00,Low Tuck,Kwong,,2023-04-04 05:01:00,,,"$1,119,190,780,753 "
Finance & Investments,Thomas Peterffy,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,,U,M,1944-09-30 00:00:00,Peterffy,Thomas,,2023-04-04 05:01:00,Florida,South,"$21,427,700,000,000 "
Metals & Mining,Andrey Melnichenko & family,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,,U,M,1972-03-08 00:00:00,Melnichenko,Andrey,,2023-04-04 05:01:00,,,"$421,142,267,938 "
Automotive,Stefan Quandt,Germany,Frankfurt,BMW,Automotive,Germany,,U,M,1966-05-09 00:00:00,Quandt,Stefan,,2023-04-04 05:01:00,,,"$3,845,630,030,824 "
Technology,MacKenzie Scott,United States,Seattle,Amazon,Technology,United States,,D,F,1970-04-07 00:00:00,Scott,MacKenzie,Philanthropist,2023-04-04 05:01:00,Washington,West,"$21,427,700,000,000 "
Finance & Investments,R. Budi Hartono,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,,U,M,1941-01-01 00:00:00,Hartono,R. Budi,,2023-04-04 05:01:00,,,"$1,119,190,780,753 "
Metals & Mining,Vladimir Potanin,Russia,Moscow,Metals,Metals & Mining,Russia,,U,M,1961-01-03 00:00:00,Potanin,Vladimir,,2023-04-04 05:01:00,,,"$1,699,876,578,871 "
Technology,Jack Ma,China,Hangzhou,E-commerce,Technology,China,,U,M,1964-09-10 00:00:00,Ma,Jack,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
