state,nBillionaires,billTotalWealth,billMeanWealth,NAME,POPESTIMATE2023,2022r,2023r,gdp_2023_q4
Texas,70,576500.0,8235.714285714286,Texas,30503301.0,2436925.0,2583866.0,2647608.0
Washington,13,350300.0,26946.153846153848,Washington,7812880.0,742909.0,807865.0,831911.0
Hawaii,2,115800.0,57900.0,Hawaii,1435138.0,103153.0,110265.0,112302.0
Nebraska,3,109900.0,36633.333333333336,Nebraska,1978379.0,167480.0,181285.0,183226.0
New York,128,731800.0,5717.1875,New York,19571216.0,2052759.0,2172010.0,2207141.0
California,178,882800.0,4959.550561797752,California,38965193.0,3660416.0,3870379.0,3936165.0
Kansas,2,63200.0,31600.0,Kansas,2940546.0,212612.0,228232.0,232076.0
Arkansas,6,128600.0,21433.333333333332,Arkansas,3067732.0,168606.0,178606.0,181277.0
Oregon,3,49500.0,16500.0,Oregon,4233358.0,298848.0,318884.0,323805.0
Virginia,8,63200.0,7900.0,Virginia,8715698.0,666682.0,719897.0,739546.0
Wyoming,7,61800.0,8828.57142857143,Wyoming,584057.0,49783.0,51991.0,53148.0
Nevada,18,89000.0,4944.444444444444,Nevada,3194176.0,227321.0,245979.0,252842.0
Florida,94,382200.0,4065.9574468085107,Florida,22610726.0,1465281.0,1600811.0,1642249.0
Pennsylvania,19,91600.0,4821.0526315789475,Pennsylvania,12961683.0,919741.0,976361.0,996679.0
Massachusetts,21,86400.0,4114.285714285715,Massachusetts,7001399.0,695612.0,736296.0,749677.0
Illinois,24,102500.0,4270.833333333333,Illinois,12549689.0,1040353.0,1098346.0,1114360.0
Tennessee,12,48900.0,4075.0,Tennessee,7126489.0,488670.0,523032.0,534199.0
Connecticut,14,77900.0,5564.285714285715,Connecticut,3617176.0,321686.0,345912.0,355246.0
Oklahoma,6,63000.0,10500.0,Oklahoma,4053824.0,245976.0,256689.0,261956.0
Michigan,10,55400.0,5540.0,Michigan,10037261.0,627009.0,673818.0,685029.0
Wisconsin,7,56500.0,8071.428571428572,Wisconsin,5910955.0,400621.0,428447.0,439700.0
Colorado,13,41500.0,3192.3076923076924,Colorado,5877610.0,494673.0,529627.0,540997.0
Indiana,3,17500.0,5833.333333333333,Indiana,6862199.0,473493.0,499503.0,509281.0
New Hampshire,1,9600.0,9600.0,New Hampshire,1402054.0,106488.0,114101.0,116529.0
Georgia,17,74500.0,4382.35294117647,Georgia,11029227.0,779684.0,831828.0,850703.0
Missouri,7,31400.0,4485.714285714285,Missouri,6196156.0,400265.0,430114.0,438684.0
New Jersey,5,21800.0,4360.0,New Jersey,9290841.0,758289.0,806665.0,822849.0
North Carolina,5,20800.0,4160.0,North Carolina,10835491.0,728499.0,788103.0,808790.0
Iowa,1,7400.0,7400.0,Iowa,3207004.0,242753.0,254032.0,259429.0
Kentucky,1,7100.0,7100.0,Kentucky,4526154.0,261541.0,279707.0,284266.0
Maryland,10,34700.0,3470.0,Maryland,6180253.0,484908.0,515607.0,525753.0
Montana,4,16200.0,4050.0,Montana,1132812.0,68702.0,73255.0,74510.0
Ohio,7,18300.0,2614.285714285714,Ohio,11785935.0,832661.0,884834.0,902846.0
South Carolina,2,7100.0,3550.0,South Carolina,5373555.0,301945.0,327420.0,336291.0
Arizona,12,32700.0,2725.0,Arizona,7431344.0,484052.0,522767.0,534000.0
Louisiana,1,4700.0,4700.0,Louisiana,4573749.0,298424.0,314989.0,322485.0
Utah,6,11600.0,1933.3333333333333,Utah,3417734.0,261081.0,281329.0,287980.0
Rhode Island,1,3100.0,3100.0,Rhode Island,1095962.0,72869.0,77574.0,79122.0
Idaho,1,3100.0,3100.0,Idaho,1964726.0,112290.0,120958.0,123886.0
U.S. Virgin Islands,1,3000.0,3000.0,,,,,
Minnesota,5,7900.0,1580.0,Minnesota,5737915.0,454993.0,483162.0,492823.0
Maine,1,2500.0,2500.0,Maine,1395722.0,86493.0,93270.0,95468.0
Mississippi,2,4600.0,2300.0,Mississippi,2939690.0,142762.0,151147.0,153249.0
South Dakota,1,2000.0,2000.0,South Dakota,919318.0,69069.0,74034.0,74648.0
Alabama,1,1200.0,1200.0,Alabama,5108468.0,284949.0,304936.0,311484.0
